Product,Name,Price,Rating,Comment Heading,Comment
dunkaston-running-shoes-men,"Certified Buyer, Kozhikode",239.0,No Rating,No Comment Heading,1Worst product I ever seen. It's torned on the first day itself. Very bad quality meterial. Made up of sponge and rubber. I will not recommend this product to buy.
dunkaston-running-shoes-men,"Certified Buyer, Kolkata",239.0,No Rating,No Comment Heading,1Poor quality product
dunkaston-running-shoes-men,"Certified Buyer, Kanpur",239.0,5,No Comment Heading,5Good Quality good Product .👍👍👍👍👍
dunkaston-running-shoes-men,"Certified Buyer, Banka District",239.0,5,No Comment Heading,5🥰Best product I am very happy😊👌👌👌👌
dunkaston-running-shoes-men,"Certified Buyer, Kozhikode",239.0,No Rating,No Comment Heading,1Worst product I ever seen. It's torned on the first day itself. Very bad quality meterial. Made up of sponge and rubber. I will not recommend this product to buy.
dunkaston-running-shoes-men,"Certified Buyer, Kolkata",239.0,No Rating,No Comment Heading,1Poor quality product
dunkaston-running-shoes-men,Certified Buyer,239.0,5,No Comment Heading,5Good Quality good Product .👍👍👍👍👍
dunkaston-running-shoes-men,"Certified Buyer, Banka District",239.0,5,No Comment Heading,5🥰Best product I am very happy😊👌👌👌👌
dunkaston-running-shoes-men,"Certified Buyer, Kozhikode",239.0,No Rating,No Comment Heading,1Worst product I ever seen. It's torned on the first day itself. Very bad quality meterial. Made up of sponge and rubber. I will not recommend this product to buy.
dunkaston-running-shoes-men,"Certified Buyer, Kolkata",239.0,No Rating,No Comment Heading,1Poor quality product
dunkaston-running-shoes-men,Certified Buyer,239.0,5,No Comment Heading,5Good Quality good Product .👍👍👍👍👍
dunkaston-running-shoes-men,"Certified Buyer, Banka District",239.0,5,No Comment Heading,5🥰Best product I am very happy😊👌👌👌👌
